strike,call_price,put_price,spot,expiration,ticker
790.0,11.98,103.12,693.9500122070312,2027-01-15,SPY
795.0,10.79,99.15,693.9500122070312,2027-01-15,SPY
800.0,9.71,112.9,693.9500122070312,2027-01-15,SPY
825.0,5.58,135.7,693.9500122070312,2027-01-15,SPY
835.0,4.32,145.64,693.9500122070312,2027-01-15,SPY
840.0,4.13,150.46,693.9500122070312,2027-01-15,SPY
850.0,3.25,155.17,693.9500122070312,2027-01-15,SPY
870.0,2.08,292.17,693.9500122070312,2027-01-15,SPY
900.0,1.08,204.72,693.9500122070312,2027-01-15,SPY
910.0,0.91,321.1,693.9500122070312,2027-01-15,SPY
950.0,0.38,265.01,693.9500122070312,2027-01-15,SPY
970.0,0.29,281.12,693.9500122070312,2027-01-15,SPY
995.0,0.16,301.21,693.9500122070312,2027-01-15,SPY
1000.0,0.17,311.07,693.9500122070312,2027-01-15,SPY
1010.0,0.14,321.28,693.9500122070312,2027-01-15,SPY
1020.0,0.13,326.17,693.9500122070312,2027-01-15,SPY
1150.0,0.04,456.55,693.9500122070312,2027-01-15,SPY
